I,VREO
-2.144,1270.085
-2.144,1268.859
-1.225,1269.472
-2.144,1269.778
-1.531,1270.697
-1.838,1269.472
-2.144,1269.472
-1.838,1269.778
-2.144,1270.085
-1.531,1268.859
-1.531,1271.31
-1.225,1269.472
-1.531,1269.472
-1.531,1269.472
-1.531,1278.66
-1.838,1268.859
-0.613,1270.085
-2.144,1269.472
-2.756,1268.859
-2.756,1269.778
-2.144,1248.34
-1.531,1289.379
-2.45,1269.778
-0.919,1270.391
-2.45,1269.472
-2.144,1274.372
-1.838,1274.679
-1.531,1260.59
-1.225,1310.512
-0.613,1273.76
-1.531,1273.453
-7.044,1273.76
-1.531,1273.147
-1.225,1250.177
-1.531,1267.634
-2.144,1327.663
2.144,1274.372
-3.675,1274.985
-10.413,1273.453
-2.144,1274.372
-1.225,1215.569
-1.838,1279.885
1.838,1364.721
2.45,1273.76
-4.9,1273.453
-9.801,1272.841
-1.531,1267.941
-0.919,1236.702
-2.144,1300.711
1.531,1310.205
0.613,1275.291
-4.9,1273.147
-10.413,1273.76
-1.225,1219.245
-1.225,1264.878
-0.919,1313.574
5.513,1274.372
-0.919,1273.147
-5.819,1274.066
-2.756,1273.453
-2.144,1212.507
-0.919,1265.797
-1.531,1351.245
2.144,1272.535
-1.838,1273.453
-6.125,1273.147
-2.144,1188.005
-1.531,1217.407
-2.144,1313.881
-2.144,1381.872
0.306,1274.372
-1.531,1274.372
-2.144,1273.453
-1.531,1273.147
-1.225,1218.938
-1.225,1319.087
-1.225,1270.085
-0.919,1270.697
-2.144,1270.697
-0.919,1269.166
-1.225,1268.553
-1.531,1270.697
-1.225,1271.616
-1.838,1269.472
-1.838,1269.472
-1.531,1269.166
-2.144,1268.247
-2.756,1268.859
-1.838,1269.166
-1.531,1268.859
-1.531,1270.391
-1.531,1270.085
-1.838,1269.472
-2.756,1269.166
-1.531,1270.391
-1.838,1269.472
-3.063,1269.472
-1.531,1270.085
-1.838,1269.472
-1.838,1269.778
,1269.166
